# Constructed from biom file
#OTU ID	Platz12	Platz2	Platz16	Platz13	Platz18	Platz17	Platz15	Platz1	Platz3	Platz19	Platz4	Platz5	Platz7	Platz6	Platz14	Platz8	Platz9	taxonomy
198192	56.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1752.0	0.0	0.0	582.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
310071	55.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	99.0	0.0	0.0	0.0	381.0	0.0	0.0	0.0	31.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
182980	54.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	2570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnobacterium; s__
191734	49.0	465.0	45.0	0.0	613.0	49.0	0.0	0.0	0.0	0.0	0.0	133.0	3771.0	1264.0	0.0	0.0	903.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
197517	66.0	545.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1011.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__
180082	48.0	97.0	0.0	44.0	27.0	12.0	0.0	372.0	61.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
189733	91.0	147.0	0.0	0.0	87.0	0.0	9.0	0.0	0.0	331.0	0.0	126.0	312.0	590.0	204.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
2653002	77.0	64.0	0.0	1686.0	0.0	123.0	0.0	2727.0	0.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
4352760	46.0	355.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	388.0	69.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
182188	72.0	1108.0	0.0	0.0	1400.0	526.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4275.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
354850	60.0	0.0	772.0	0.0	3.0	0.0	46.0	2786.0	0.0	0.0	0.0	1339.0	0.0	872.0	465.0	415.0	13601.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
